               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.035028,            0.019103,          0.00076483,             0.88014,             0.85235,             0.85244,               0.499,            0.047623,            0.026227,          0.00025059,            0.003961,            0.003961,            0.003961
                  63,            0.034096,            0.018829,          0.00085222,             0.88466,             0.83898,             0.84638,             0.48514,            0.047842,            0.026929,          0.00021666,            0.003862,            0.003862,            0.003862
                  64,            0.033909,             0.01864,          0.00069445,             0.88127,             0.84051,             0.84721,             0.48491,              0.0482,            0.026341,          0.00023088,            0.003763,            0.003763,            0.003763
                  65,            0.033988,            0.018317,          0.00081116,             0.86058,             0.85348,             0.84648,             0.49059,            0.047469,            0.027345,          0.00030801,            0.003664,            0.003664,            0.003664
                  66,            0.033237,             0.01824,          0.00070866,             0.87761,             0.84589,             0.84206,             0.48645,            0.048515,            0.027517,          0.00024791,            0.003565,            0.003565,            0.003565
                  67,            0.033062,            0.018139,           0.0006754,             0.87958,             0.85518,             0.85775,             0.49167,            0.047221,            0.026434,          0.00028241,            0.003466,            0.003466,            0.003466
                  68,            0.032951,            0.017032,          0.00063596,             0.87046,             0.84806,             0.84397,             0.48991,              0.0476,            0.028218,          0.00023332,            0.003367,            0.003367,            0.003367
                  69,            0.033198,            0.017806,          0.00071884,              0.8593,             0.85932,             0.84827,             0.50015,            0.047389,            0.026339,          0.00023826,            0.003268,            0.003268,            0.003268
                  70,            0.032653,            0.018931,          0.00067408,             0.85946,             0.84919,             0.84664,             0.49755,            0.047396,            0.026945,          0.00023975,            0.003169,            0.003169,            0.003169
                  71,            0.032897,            0.017922,          0.00067211,             0.87828,             0.84953,              0.8464,             0.49226,            0.047432,            0.028546,          0.00017893,             0.00307,             0.00307,             0.00307
                  72,             0.03281,            0.017383,           0.0006776,             0.88291,             0.83616,             0.84165,             0.48426,            0.047901,            0.027875,          0.00020089,            0.002971,            0.002971,            0.002971
                  73,            0.032255,            0.017281,          0.00067779,             0.89421,             0.82335,             0.83636,             0.48624,            0.047954,            0.028172,          0.00024729,            0.002872,            0.002872,            0.002872
                  74,            0.032073,            0.017757,          0.00069062,             0.87204,             0.84595,             0.84998,             0.48837,            0.047266,            0.027219,          0.00025009,            0.002773,            0.002773,            0.002773
                  75,             0.03196,            0.017185,          0.00078548,             0.88014,             0.84732,             0.85411,             0.48984,            0.047277,            0.026808,          0.00022819,            0.002674,            0.002674,            0.002674
                  76,            0.031781,            0.018072,          0.00067671,              0.8882,             0.83629,             0.84219,             0.49399,            0.046558,             0.02774,          0.00018037,            0.002575,            0.002575,            0.002575
                  77,            0.031121,            0.016845,          0.00057596,             0.86665,             0.84862,             0.84605,             0.49479,            0.046856,            0.028123,          0.00018877,            0.002476,            0.002476,            0.002476
                  78,            0.031321,            0.017316,          0.00062204,              0.8671,             0.85461,             0.84766,             0.49215,            0.047229,            0.027395,          0.00020143,            0.002377,            0.002377,            0.002377
                  79,            0.030764,            0.016954,          0.00065266,             0.88136,             0.84218,              0.8459,             0.49411,             0.04718,             0.02795,          0.00023555,            0.002278,            0.002278,            0.002278
                  80,            0.031754,            0.017619,           0.0006669,             0.88463,             0.84162,             0.84713,             0.50278,            0.047022,            0.027705,          0.00022622,            0.002179,            0.002179,            0.002179
                  81,            0.030776,             0.01679,          0.00056939,             0.86077,             0.85738,             0.84418,             0.50025,             0.04717,            0.027208,           0.0001579,             0.00208,             0.00208,             0.00208
                  82,            0.030522,            0.016616,          0.00075682,             0.87191,             0.84576,             0.84722,             0.50683,            0.046608,            0.027768,          0.00014872,            0.001981,            0.001981,            0.001981
                  83,            0.030801,            0.017617,          0.00060588,             0.88033,             0.85099,             0.85427,             0.50123,            0.046926,            0.027293,           0.0001529,            0.001882,            0.001882,            0.001882
                  84,            0.030052,            0.016769,          0.00058355,             0.89202,             0.83823,             0.84762,             0.50199,            0.046676,            0.027967,          0.00014064,            0.001783,            0.001783,            0.001783
