               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.032638,             0.01938,          0.00057443,              0.8722,             0.83888,             0.83794,              0.5075,            0.047629,            0.030299,          0.00031398,            0.003565,            0.003565,            0.003565
                  67,            0.033009,            0.019822,          0.00063381,             0.88168,             0.83366,             0.83808,             0.49637,            0.047545,            0.030302,          0.00031979,            0.003466,            0.003466,            0.003466
                  68,            0.032431,            0.021259,          0.00070446,             0.89523,             0.83576,             0.84106,             0.52493,            0.045784,            0.029975,          0.00036907,            0.003367,            0.003367,            0.003367
                  69,            0.031963,            0.019419,           0.0006647,             0.87868,             0.83627,             0.83735,             0.53088,            0.045944,            0.029859,          0.00030903,            0.003268,            0.003268,            0.003268
                  70,            0.031737,            0.020089,           0.0005017,             0.86707,             0.84736,              0.8469,             0.51804,            0.045795,            0.029623,          0.00033867,            0.003169,            0.003169,            0.003169
                  71,            0.031035,            0.019445,          0.00065074,             0.89201,             0.82985,             0.84379,             0.53085,            0.045879,            0.030789,          0.00029682,             0.00307,             0.00307,             0.00307
                  72,            0.031049,            0.019722,          0.00063465,             0.90026,             0.83757,             0.85129,             0.51096,            0.046301,            0.030511,          0.00028367,            0.002971,            0.002971,            0.002971
                  73,             0.03152,            0.019975,          0.00054857,             0.89004,             0.83366,              0.8432,             0.51308,            0.046714,              0.0308,          0.00028247,            0.002872,            0.002872,            0.002872
                  74,             0.03181,            0.020673,          0.00053865,              0.8792,             0.84666,             0.85131,             0.51123,            0.045677,            0.030713,          0.00040299,            0.002773,            0.002773,            0.002773
                  75,            0.031048,            0.018402,          0.00047958,             0.89435,             0.84344,             0.85047,             0.51796,            0.046223,            0.029924,          0.00031345,            0.002674,            0.002674,            0.002674
                  76,            0.030563,            0.019498,           0.0004906,              0.8622,              0.8454,             0.83842,             0.50909,            0.048093,            0.030612,          0.00028025,            0.002575,            0.002575,            0.002575
                  77,            0.030128,            0.019158,          0.00054156,             0.87484,              0.8454,             0.84668,             0.51922,            0.046857,            0.030446,          0.00030491,            0.002476,            0.002476,            0.002476
                  78,            0.030687,            0.020573,           0.0004343,             0.88016,             0.84866,             0.84606,              0.5351,            0.045945,            0.030723,          0.00030986,            0.002377,            0.002377,            0.002377
                  79,             0.03064,            0.020056,          0.00051612,             0.88966,             0.83888,             0.84909,             0.53246,            0.046094,             0.03073,          0.00037335,            0.002278,            0.002278,            0.002278
                  80,            0.029766,            0.018846,          0.00042444,             0.90338,             0.82257,             0.83951,             0.53535,            0.046065,            0.030462,          0.00032714,            0.002179,            0.002179,            0.002179
                  81,             0.03049,            0.019361,          0.00061052,             0.88035,             0.85258,             0.84759,             0.52606,             0.04554,            0.029638,          0.00027164,             0.00208,             0.00208,             0.00208
                  82,            0.030023,            0.019317,          0.00055575,             0.88239,             0.84475,             0.84891,             0.53256,            0.045655,            0.030001,           0.0003555,            0.001981,            0.001981,            0.001981
                  83,            0.029641,            0.018742,          0.00056938,             0.87428,             0.84149,             0.84376,             0.53775,            0.045737,            0.030802,          0.00030433,            0.001882,            0.001882,            0.001882
                  84,            0.030659,            0.019909,          0.00052004,              0.8961,             0.84003,             0.84699,             0.52423,             0.04566,             0.02984,           0.0002729,            0.001783,            0.001783,            0.001783
                  85,             0.02975,            0.019378,          0.00040759,             0.87702,             0.85192,             0.84918,             0.55161,            0.044717,            0.029983,          0.00026549,            0.001684,            0.001684,            0.001684
                  86,            0.029484,            0.019653,          0.00046986,             0.87693,             0.85127,             0.84966,             0.53488,            0.045199,            0.030012,          0.00027784,            0.001585,            0.001585,            0.001585
                  87,            0.029546,            0.018935,          0.00048615,             0.88767,             0.85033,             0.85759,             0.55069,            0.045151,            0.029842,          0.00034873,            0.001486,            0.001486,            0.001486
                  88,            0.029351,            0.018694,          0.00052002,             0.89371,             0.83963,             0.84486,             0.53124,            0.046465,            0.031033,          0.00033477,            0.001387,            0.001387,            0.001387
                  89,            0.028978,            0.018257,          0.00038223,             0.88732,             0.84866,             0.84767,             0.53321,            0.045704,            0.030901,          0.00029455,            0.001288,            0.001288,            0.001288
                  90,            0.028583,            0.018114,          0.00065856,              0.8882,             0.84505,             0.84864,             0.53577,            0.046031,            0.030244,          0.00022606,            0.001189,            0.001189,            0.001189
                  91,            0.028239,            0.018299,           0.0003372,             0.88246,             0.85062,             0.84823,             0.53482,            0.045703,            0.030951,          0.00024564,             0.00109,             0.00109,             0.00109
                  92,            0.029603,            0.018801,          0.00040151,             0.88231,             0.84801,             0.84669,             0.53065,            0.045715,             0.03041,          0.00023779,            0.000991,            0.000991,            0.000991
                  93,            0.028856,            0.018142,          0.00039495,              0.8824,             0.84344,             0.84598,             0.53468,            0.045536,            0.030785,          0.00026475,            0.000892,            0.000892,            0.000892
                  94,            0.029468,            0.018641,          0.00042038,             0.88294,             0.84213,             0.84191,             0.52749,            0.045759,            0.031028,           0.0002827,            0.000793,            0.000793,            0.000793
                  95,            0.028887,            0.018694,          0.00034131,             0.88476,             0.84543,             0.84399,             0.54409,            0.045413,            0.030913,          0.00027999,            0.000694,            0.000694,            0.000694
                  96,            0.028782,            0.018778,          0.00036799,             0.87762,             0.84932,             0.84875,             0.54741,             0.04519,            0.030772,          0.00026888,            0.000595,            0.000595,            0.000595
                  97,             0.02804,            0.019013,          0.00034167,             0.88375,             0.84132,             0.84799,              0.5315,            0.045324,            0.030682,          0.00025727,            0.000496,            0.000496,            0.000496
                  98,            0.028082,             0.01801,           0.0006224,             0.87262,             0.84932,             0.84753,             0.54636,            0.045015,            0.030554,          0.00025283,            0.000397,            0.000397,            0.000397
                  99,            0.027971,            0.017942,          0.00043282,             0.87775,             0.84801,             0.84745,              0.5389,            0.045308,            0.030546,          0.00025357,            0.000298,            0.000298,            0.000298
